StationID	LineID	Name
36	2	Царицыно
141	9	Менделеевская
7	1	Красные ворота
176	12	Улица Горчакова
193	8	Деловой центр
132	8	Третьяковская
35	2	Кантемировская
133	9	Алтуфьево
8	1	Чистые пруды
145	9	Полянка
60	4	Филёвский парк
53	3	Славянский бульвар
173	12	Улица Старокачаловская
117	7	Кузнецкий мост
86	6	Ботанический сад
120	7	Пролетарская
114	7	Улица 1905 года
2	1	Черкизовская
40	3	Щёлковская
90	6	Проспект Мира
51	3	Киевская
88	6	Алексеевская
71	5	Парк культуры
102	6	Беляево
184	10	Шипиловская
147	9	Тульская
100	6	Новые Черёмушки
185	10	Зябликово
82	5	Киевская
9	1	Лубянка
183	10	Борисово
150	9	Нахимовский проспект
108	7	Сходненская
111	7	Октябрьское поле
105	6	Ясенево
66	4	Смоленская
160	10	Чкаловская
187	2	Алма-Атинская
78	5	Проспект Мира
125	7	Выхино
126	8	Новогиреево
101	6	Калужская
68	4	Александровский сад
5	1	Красносельская
103	6	Коньково
180	3	Митино
181	10	Марьина Роща
70	4	Международная
190	7	Жулебино
113	7	Беговая
81	5	Краснопресненская
93	6	Китай-город
46	3	Бауманская
94	6	Третьяковская
28	2	Тверская
52	3	Парк Победы
128	8	Шоссе Энтузиастов
172	11	Каховская
186	8	Новокосино
167	10	Люблино
69	4	Выставочная
95	6	Октябрьская
158	10	Трубная
122	7	Текстильщики
13	1	Парк культуры
99	6	Профсоюзная
67	4	Арбатская
21	2	Водный стадион
129	8	Авиамоторная
154	9	Пражская
80	5	Белорусская
168	10	Братиславская
42	3	Измайловская
123	7	Кузьминки
149	9	Нагорная
45	3	Электрозаводская
57	3	Строгино
79	5	Новослободская
130	8	Площадь Ильича
22	2	Войковская
134	9	Бибирево
137	9	Петровско-Разумовская
170	11	Каширская
139	9	Дмитровская
192	12	Лесопарковая
72	5	Октябрьская
118	7	Китай-город
4	1	Сокольники
152	9	Чертановская
165	10	Печатники
25	2	Динамо
110	7	Щукинская
136	9	Владыкино
148	9	Нагатинская
124	7	Рязанский проспект
163	10	Дубровка
44	3	Семёновская
26	2	Белорусская
33	2	Коломенская
104	6	Теплый Стан
84	6	Бабушкинская
15	1	Спортивная
177	12	Бунинская Аллея
34	2	Каширская
17	1	Университет
11	1	Библиотека имени Ленина
12	1	Кропоткинская
19	1	Юго-Западная
64	4	Студенческая
20	2	Речной вокзал
87	6	ВДНХ
18	1	Проспект Вернадского
50	3	Смоленская
75	5	Таганская
65	4	Киевская
119	7	Таганская
174	12	Улица Скобелевская
32	2	Автозаводская
142	9	Цветной бульвар
38	2	Домодедовская
56	3	Крылатское
189	7	Лермонтовский проспект
49	3	Арбатская
59	4	Пионерская
29	2	Театральная
6	1	Комсомольская
43	3	Партизанская
159	10	Сретенский бульвар
106	6	Новоясеневская
3	1	Преображенская площадь
54	3	Кунцевская
195	7	Спартак
47	3	Курская
39	2	Красногвардейская
109	7	Тушинская
76	5	Курская
31	2	Павелецкая
112	7	Полежаевская
58	4	Кунцевская
41	3	Первомайская
155	9	Улица Академика Янгеля
24	2	Аэропорт
1	1	Бульвар Рокоссовского
16	1	Воробьёвы горы
73	5	Добрынинская
63	4	Кутузовская
14	1	Фрунзенская
62	4	Фили
135	9	Отрадное
116	7	Пушкинская
164	10	Кожуховская
188	3	Пятницкое шоссе
55	3	Молодёжная
74	5	Павелецкая
179	3	Волоколамская
194	8	Парк Победы
162	10	Крестьянская застава
161	10	Римская
156	9	Аннино
151	9	Севастопольская
143	9	Чеховская
85	6	Свиблово
92	6	Тургеневская
91	6	Сухаревская
77	5	Комсомольская
146	9	Серпуховская
153	9	Южная
166	10	Волжская
182	10	Достоевская
131	8	Марксистская
98	6	Академическая
138	9	Тимирязевская
30	2	Новокузнецкая
61	4	Багратионовская
169	10	Марьино
178	3	Мякинино
127	8	Перово
10	1	Охотный ряд
144	9	Боровицкая
140	9	Савёловская
23	2	Сокол
97	6	Ленинский проспект
175	12	Бульвар Адмирала Ушакова
96	6	Шаболовская
48	3	Площадь Революции
107	7	Планерная
37	2	Орехово
83	6	Медведково
171	11	Варшавская
121	7	Волгоградский проспект
89	6	Рижская
157	9	Бульвар Дмитрия Донского
196	1	Тропарёво
115	7	Баррикадная
27	2	Маяковская
191	12	Битцевский парк
